,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link,Scientist,founded
5772,Nutting's Flycatcher,Myiarchus nuttingi,passeriformes,tyrannidae,myiarchus,"Ridgway, 1882",3.25 years,"1,800 metres",Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Nutting's Flycatcher,https://www.iucnredlist.org/species/22700430/137970575,Ridgway,1882
5773,Galapagos Flycatcher,Myiarchus magnirostris,passeriformes,tyrannidae,myiarchus,"(Gould, 1838)",5.1 years,"1,500 metres",Decreasing,"Shrubland, Grassland, Marine Coastal/Supratidal",Least Concern,"Galapagos Flycatcher, Large-billed Flycatcher",https://www.iucnredlist.org/species/22700442/93776627,Gould,1838
5774,Long-tailed Tyrant,Colonia colonus,passeriformes,tyrannidae,colonia,"(Vieillot, 1818)",2.88 years,"1,200 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Long-tailed Tyrant,https://www.iucnredlist.org/species/22700318/137977522,Vieillot,1818
5775,Mouse-grey Flycatcher,Myiophobus crypterythrus,passeriformes,tyrannidae,myiophobus,"(Sclater, 1861)",2.3 years,,Stable,"Forest, Savanna, Shrubland, Artificial/Terrestrial",Least Concern,Mouse-grey Flycatcher,https://www.iucnredlist.org/species/103682414/168376064,Sclater,1861
5776,Bran-colored Flycatcher,Myiophobus fasciatus,passeriformes,tyrannidae,myiophobus,"(Müller, 1776)",3.6 years,,Increasing,"Forest, Savanna, Shrubland, Artificial/Terrestrial",Least Concern,Bran-colored Flycatcher,https://www.iucnredlist.org/species/103682408/93744147,Müller,1776
5777,Rufescent Flycatcher,Myiophobus rufescens,passeriformes,tyrannidae,myiophobus,"(Salvadori, 1864)",2.3 years,,Stable,"Forest, Savanna, Shrubland, Artificial/Terrestrial",Least Concern,Rufescent Flycatcher,https://www.iucnredlist.org/species/103682419/168377114,Salvadori,1864
5778,Olive-chested Flycatcher,Myiophobus cryptoxanthus,passeriformes,tyrannidae,myiophobus,"(Sclater, 1860)",3.6 years,"1,100 metres",Increasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Olive-chested Flycatcher,https://www.iucnredlist.org/species/22699708/93744452,Sclater,1860
5779,Flavescent Flycatcher,Myiophobus flavicans,passeriformes,tyrannidae,myiophobus,"(Sclater, 1860)",3.6 years,"2,700 metres",Stable,Forest,Least Concern,Flavescent Flycatcher,https://www.iucnredlist.org/species/22699668/93742873,Sclater,1860
5780,Orange-crested Flycatcher,Myiophobus phoenicomitra,passeriformes,tyrannidae,myiophobus,"(Taczanowski & Berlepsch, 1885)",3.6 years,"1,550 metres",Decreasing,Forest,Least Concern,Orange-crested Flycatcher,https://www.iucnredlist.org/species/22699671/130205404,Taczanowski & Berlepsch,1885
5781,Unadorned Flycatcher,Myiophobus inornatus,passeriformes,tyrannidae,myiophobus,"Carriker, 1932",3.6 years,"2,600 metres",Decreasing,Forest,Least Concern,Unadorned Flycatcher,https://www.iucnredlist.org/species/22699674/93743207,Carriker,1932
5782,Roraiman Flycatcher,Myiophobus roraimae,passeriformes,tyrannidae,myiophobus,"(Salvin & Godman, 1883)",3.6 years,"2,000 metres",Stable,Forest,Least Concern,Roraiman Flycatcher,https://www.iucnredlist.org/species/22699677/93743369,Salvin & Godman,1883
5783,Crowned Chat-tyrant,Silvicultrix frontalis,passeriformes,tyrannidae,silvicultrix,"(Lafresnaye, 1847)",3.6 years,"4,000 metres",Stable,"Forest, Shrubland",Least Concern,"Crowned Chat-tyrant, Crowned Chat-Tyrant",https://www.iucnredlist.org/species/22699898/93754981,Lafresnaye,1847
5784,Jelski's Chat-tyrant,Silvicultrix jelskii,passeriformes,tyrannidae,silvicultrix,"(Taczanowski, 1883)",3.6 years,"3,400 metres",Stable,"Forest, Wetlands (inland)",Least Concern,"Jelski's Chat-tyrant, Jelski's Chat-Tyrant",https://www.iucnredlist.org/species/22699905/93755153,Taczanowski,1883
5785,Golden-browed Chat-tyrant,Silvicultrix pulchella,passeriformes,tyrannidae,silvicultrix,"(Sclater & Salvin, 1876)",3.6 years,"2,800 metres",Stable,"Forest, Shrubland",Least Concern,"Golden-browed Chat-tyrant, Golden-browed Chat-Tyrant",https://www.iucnredlist.org/species/22699919/93755492,Sclater & Salvin,1876
5786,Yellow-bellied Chat-tyrant,Silvicultrix diadema,passeriformes,tyrannidae,silvicultrix,"(Hartlaub, 1843)",3.6 years,"3,100 metres",Stable,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,"Yellow-bellied Chat-tyrant, Yellow-bellied Chat-Tyrant",https://www.iucnredlist.org/species/22699912/93755311,Hartlaub,1843
5787,Patagonian Tyrant,Colorhamphus parvirostris,passeriformes,tyrannidae,colorhamphus,"(Gould & G.R. Gray, 1839)",3.6 years,"2,000 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Patagonian Tyrant,https://www.iucnredlist.org/species/22699963/93757121,Gould & G.R. Gray,1839
5788,Slaty-backed Chat-tyrant,Ochthoeca cinnamomeiventris,passeriformes,tyrannidae,ochthoeca,"(Lafresnaye, 1843)",3.6 years,,Stable,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,Slaty-backed Chat-tyrant,https://www.iucnredlist.org/species/103682781/93755652,Lafresnaye,1843
5789,Blackish Chat-tyrant,Ochthoeca nigrita,passeriformes,tyrannidae,ochthoeca,"Sclater & Salvin, 1871",3.6 years,,Stable,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,Blackish Chat-tyrant,https://www.iucnredlist.org/species/103682791/112288278,Sclater & Salvin,1871
5790,Chestnut-belted Chat-tyrant,Ochthoeca thoracica,passeriformes,tyrannidae,ochthoeca,"Taczanowski, 1874",3.6 years,,Stable,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,Chestnut-belted Chat-tyrant,https://www.iucnredlist.org/species/103682795/104081325,Taczanowski,1874
5791,Rufous-breasted Chat-tyrant,Ochthoeca rufipectoralis,passeriformes,tyrannidae,ochthoeca,"(D'Orbigny & Lafresnaye, 1837)",3.6 years,"3,600 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Rufous-breasted Chat-tyrant, Rufous-breasted Chat-Tyrant",https://www.iucnredlist.org/species/22699930/93755837,D'Orbigny & Lafresnaye,1837
5792,Brown-backed Chat-tyrant,Ochthoeca fumicolor,passeriformes,tyrannidae,ochthoeca,"Sclater, 1856",3.6 years,,Stable,"Forest, Shrubland, Grassland, Artificial/Terrestrial",Least Concern,Brown-backed Chat-tyrant,https://www.iucnredlist.org/species/103682812/112288572,Sclater,1856
5793,Rufous-browed Chat-tyrant,Ochthoeca superciliosa,passeriformes,tyrannidae,ochthoeca,"Sclater & Salvin, 1871",3.6 years,,Stable,"Forest, Shrubland, Grassland, Artificial/Terrestrial",Least Concern,Rufous-browed Chat-tyrant,https://www.iucnredlist.org/species/103682880/112289145,Sclater & Salvin,1871
5794,D'Orbigny's Chat-tyrant,Ochthoeca oenanthoides,passeriformes,tyrannidae,ochthoeca,"(D'Orbigny & Lafresnaye, 1837)",3.6 years,"4,500 metres",Stable,"Forest, Shrubland, Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks)",Least Concern,"D'Orbigny's Chat-tyrant, D'Orbigny's Chat-Tyrant, d'Orbigny's Chat-Tyrant",https://www.iucnredlist.org/species/22699938/93756226,D'Orbigny & Lafresnaye,1837
5795,Piura Chat-tyrant,Ochthoeca piurae,passeriformes,tyrannidae,ochthoeca,"Chapman, 1924",2.8 years,"2,850 metres",Decreasing,"Forest, Shrubland, Wetlands (inland)",Least Concern,"Piura Chat-tyrant, Piura Chat-Tyrant",https://www.iucnredlist.org/species/22699947/180915045,Chapman,1924
5796,White-browed Chat-tyrant,Ochthoeca leucophrys,passeriformes,tyrannidae,ochthoeca,"(D'Orbigny & Lafresnaye, 1837)",3.6 years,"3,700 metres",Stable,"Forest, Shrubland, Grassland",Least Concern,"White-browed Chat-tyrant, White-browed Chat-Tyrant",https://www.iucnredlist.org/species/22699943/93756423,D'Orbigny & Lafresnaye,1837
5797,Tumbes Tyrant,Ochthoeca salvini,passeriformes,tyrannidae,ochthoeca,"Taczanowski, 1877",2.9 years,700 metres,Decreasing,"Forest, Savanna, Shrubland",Near Threatened,Tumbes Tyrant,https://www.iucnredlist.org/species/22699951/183171230,Taczanowski,1877
5798,Northern Scrub-flycatcher,Sublegatus arenarum,passeriformes,tyrannidae,sublegatus,"(Salvin, 1863)",3.6 years,600 metres,Unknown,"Forest, Shrubland",Least Concern,"Northern Scrub-flycatcher, Northern Scrub Flycatcher, Northern Scrub-Flycatcher",https://www.iucnredlist.org/species/22699200/118649015,Salvin,1863
5799,Amazonian Scrub-flycatcher,Sublegatus obscurior,passeriformes,tyrannidae,sublegatus,"Todd, 1920",3.6 years,900 metres,Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Amazonian Scrub-flycatcher, Amazonian Scrub Flycatcher, Todd's Scrub-Flycatcher, Todd's Scrub-flycatcher",https://www.iucnredlist.org/species/22699205/130201063,Todd,1920
5800,Southern Scrub-flycatcher,Sublegatus modestus,passeriformes,tyrannidae,sublegatus,"(Wied, 1831)",3.6 years,"2,750 metres",Increasing,"Forest, Shrubland",Least Concern,"Southern Scrub-flycatcher, Southern Scrub Flycatcher, Southern Scrub-Flycatcher",https://www.iucnredlist.org/species/22699211/93719594,Wied,1831
5801,Common Vermilion Flycatcher,Pyrocephalus rubinus,passeriformes,tyrannidae,pyrocephalus,"(Boddaert, 1783)",2.56 years,"3,050 metres",Increasing,"Forest, Savanna, Shrubland, Artificial/Terrestrial",Least Concern,Common Vermilion Flycatcher,https://www.iucnredlist.org/species/103682912/187307157,Boddaert,1783
5802,Little Vermilion Flycatcher,Pyrocephalus nanus,passeriformes,tyrannidae,pyrocephalus,"Gould, 1838",3.2 years,"3,050 metres",Decreasing,"Forest, Savanna, Shrubland, Artificial/Terrestrial",Vulnerable,Little Vermilion Flycatcher,https://www.iucnredlist.org/species/103682926/119555197,Gould,1838
5803,Least Vermilion Flycatcher,Pyrocephalus dubius,passeriformes,tyrannidae,pyrocephalus,"Gould & Gray, 1839",,,Unspecified,Forest,Extinct,"Least Vermilion Flycatcher, San Cristobal Vermilion Flycatcher",https://www.iucnredlist.org/species/103682916/119211257,Gould & Gray,1839
5804,Pied Water-tyrant,Fluvicola pica,passeriformes,tyrannidae,fluvicola,"(Boddaert, 1783)",2.58 years,"1,000 metres",Decreasing,"Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,"Pied Water-tyrant, Pied Water Tyrant, Pied Water-Tyrant",https://www.iucnredlist.org/species/22700274/137978258,Boddaert,1783
5805,Black-backed Water-tyrant,Fluvicola albiventer,passeriformes,tyrannidae,fluvicola,"(Spix, 1825)",3.6 years,"1,000 metres",Stable,"Shrubland, Wetlands (inland)",Least Concern,"Black-backed Water-tyrant, Black-backed Water Tyrant, Black-backed Water-Tyrant",https://www.iucnredlist.org/species/22700279/93767091,Spix,1825
5806,Masked Water-tyrant,Fluvicola nengeta,passeriformes,tyrannidae,fluvicola,"(Linnaeus, 1766)",3.6 years,800 metres,Increasing,"Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,"Masked Water-tyrant, Masked Water Tyrant, Masked Water-Tyrant",https://www.iucnredlist.org/species/22700284/110738105,Linnaeus,1766
5807,White-headed Marsh-tyrant,Arundinicola leucocephala,passeriformes,tyrannidae,arundinicola,"Linnaeus, 1764",3.6 years,600 metres,Stable,"Savanna, Wetlands (inland)",Least Concern,"White-headed Marsh-tyrant, White-headed Marsh Tyrant, White-headed Marsh-Tyrant",https://www.iucnredlist.org/species/22700291/93767511,Linnaeus,1764
5808,Streamer-tailed Tyrant,Gubernetes yetapa,passeriformes,tyrannidae,gubernetes,"(Vieillot, 1818)",3.6 years,"1,200 metres",Stable,"Forest, Shrubland, Grassland, Wetlands (inland)",Least Concern,Streamer-tailed Tyrant,https://www.iucnredlist.org/species/22700312/93768434,Vieillot,1818
5809,Shear-tailed Grey Tyrant,Muscipipra vetula,passeriformes,tyrannidae,muscipipra,"(Lichtenstein, 1823)",3.6 years,"2,200 metres",Stable,"Forest, Grassland, Artificial/Terrestrial",Least Concern,"Shear-tailed Grey Tyrant, Shear-tailed Gray-Tyrant, Shear-tailed Grey-tyrant",https://www.iucnredlist.org/species/22700329/93769376,Lichtenstein,1823
5810,Cock-tailed Tyrant,,,tyrannidae,alectrurus,"(Vieillot, 1816)",3.6 years,"1,460 metres",Decreasing,"Savanna, Grassland",Vulnerable,Cock-tailed Tyrant,https://www.iucnredlist.org/species/22700300/110738421,Vieillot,1816
5811,Strange-tailed Tyrant,Alectrurus risora,passeriformes,tyrannidae,alectrurus,"(Vieillot, 1824)",3.6 years,500 metres,Decreasing,"Savanna, Shrubland, Grassland, Wetlands (inland)",Vulnerable,Strange-tailed Tyrant,https://www.iucnredlist.org/species/22700303/93768087,Vieillot,1824
5812,Austral Negrito,Lessonia rufa,passeriformes,tyrannidae,lessonia,"(Gmelin, 1789)",3.6 years,"2,000 metres",Stable,"Grassland, Wetlands (inland), Marine Coastal/Supratidal, Artificial/Terrestrial",Least Concern,"Austral Negrito, Patagonian Negrito",https://www.iucnredlist.org/species/22700216/93764389,Gmelin,1789
5813,Andean Negrito,Lessonia oreas,passeriformes,tyrannidae,lessonia,"(Sclater & Salvin, 1869)",3.6 years,"4,000 metres",Stable,"Grassland, Wetlands (inland)",Least Concern,Andean Negrito,https://www.iucnredlist.org/species/22700213/93764187,Sclater & Salvin,1869
5814,Spectacled Tyrant,Hymenops perspicillatus,passeriformes,tyrannidae,hymenops,"(Gmelin, 1789)",3.6 years,"3,350 metres",Stable,"Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial",Least Concern,Spectacled Tyrant,https://www.iucnredlist.org/species/22700266/93766598,Gmelin,1789
5815,Riverside Tyrant,Knipolegus orenocensis,passeriformes,tyrannidae,knipolegus,"von Berlepsch, 1884",3.6 years,,Stable,Shrubland,Least Concern,Riverside Tyrant,https://www.iucnredlist.org/species/103682943/112288882,von Berlepsch,1884
5816,Sclater's Black-tyrant,Knipolegus sclateri,passeriformes,tyrannidae,knipolegus,"Hellmayr, 1906",3.6 years,,Stable,Shrubland,Least Concern,Sclater's Black-tyrant,https://www.iucnredlist.org/species/103682965/112474869,Hellmayr,1906
5817,Amazonian Black-tyrant,Knipolegus poecilocercus,passeriformes,tyrannidae,knipolegus,"(Pelzeln, 1868)",3.6 years,350 metres,Decreasing,"Forest, Shrubland, Wetlands (inland)",Least Concern,"Amazonian Black-tyrant, Amazonian Black Tyrant, Amazonian Black-Tyrant",https://www.iucnredlist.org/species/22700228/93764991,Pelzeln,1868
5818,Rufous-tailed Tyrant,Knipolegus poecilurus,passeriformes,tyrannidae,knipolegus,"(Sclater, 1862)",3.6 years,"3,100 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Rufous-tailed Tyrant,https://www.iucnredlist.org/species/22700244/130206365,Sclater,1862
5819,Caatinga Black-tyrant,Knipolegus franciscanus,passeriformes,tyrannidae,knipolegus,"Snethlage, 1928",3.09 years,,Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Caatinga Black-tyrant, Brazilian Black-tyrant, Caatinga Black Tyrant",https://www.iucnredlist.org/species/22700250/201426542,Snethlage,1928
5820,Crested Black-tyrant,Knipolegus lophotes,passeriformes,tyrannidae,knipolegus,"Boie, 1828",3.6 years,"1,250 metres",Stable,"Savanna, Shrubland, Grassland, Artificial/Terrestrial",Least Concern,"Crested Black-tyrant, Crested Black Tyrant, Crested Black-Tyrant",https://www.iucnredlist.org/species/22700261/93766417,Boie,1828
5821,Velvety Black-tyrant,Knipolegus nigerrimus,passeriformes,tyrannidae,knipolegus,"(Vieillot, 1818)",3.6 years,"2,700 metres",Stable,"Forest, Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks)",Least Concern,"Velvety Black-tyrant, Velvety Black Tyrant, Velvety Black-Tyrant",https://www.iucnredlist.org/species/22700256/110737655,Vieillot,1818
5822,Andean Black-tyrant,Knipolegus signatus,passeriformes,tyrannidae,knipolegus,"(Taczanowski, 1874)",3.6 years,,Stable,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,"Andean Black-tyrant, Andean Tyrant",https://www.iucnredlist.org/species/103683026/93765184,Taczanowski,1874
5823,Plumbeous Black-tyrant,Knipolegus cabanisi,passeriformes,tyrannidae,knipolegus,"Schulz, 1882",3.6 years,,Stable,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,"Plumbeous Black-tyrant, Plumbeous Andean-Tyrant, Plumbeous Tyrant",https://www.iucnredlist.org/species/22731705/104082753,Schulz,1882
5824,Blue-billed Black-tyrant,Knipolegus cyanirostris,passeriformes,tyrannidae,knipolegus,"(Vieillot, 1818)",3.6 years,"2,200 metres",Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Blue-billed Black-tyrant, Blue-billed Black Tyrant, Blue-billed Black-Tyrant",https://www.iucnredlist.org/species/22700239/130206001,Vieillot,1818
5825,Cinereous Black-tyrant,Knipolegus striaticeps,passeriformes,tyrannidae,knipolegus,"(D'Orbigny & Lafresnaye, 1837)",3.6 years,"1,900 metres",Decreasing,"Forest, Shrubland",Least Concern,"Cinereous Black-tyrant, Cinereous Tyrant",https://www.iucnredlist.org/species/22700220/93764627,D'Orbigny & Lafresnaye,1837
5826,Hudson's Black-tyrant,Knipolegus hudsoni,passeriformes,tyrannidae,knipolegus,"Sclater, 1872",3.6 years,500 metres,Stable,"Shrubland, Artificial/Terrestrial",Least Concern,"Hudson's Black-tyrant, Hudson's Black Tyrant, Hudson's Black-Tyrant",https://www.iucnredlist.org/species/22700223/93764804,Sclater,1872
5827,White-winged Black-tyrant,Knipolegus aterrimus,passeriformes,tyrannidae,knipolegus,"Kaup, 1853",3.6 years,,Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,White-winged Black-tyrant,https://www.iucnredlist.org/species/103683052/95012475,Kaup,1853
5828,White-rumped Black-tyrant,Knipolegus heterogyna,passeriformes,tyrannidae,knipolegus,"von Berlepsch, 1907",3.6 years,,Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,White-rumped Black-tyrant,https://www.iucnredlist.org/species/103683096/112475358,von Berlepsch,1907
5829,Yellow-browed Tyrant,Satrapa icterophrys,passeriformes,tyrannidae,satrapa,"(Vieillot, 1818)",3.6 years,"2,600 metres",Stable,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,Yellow-browed Tyrant,https://www.iucnredlist.org/species/22700315/93768627,Vieillot,1818
5830,Little Ground-tyrant,Muscisaxicola fluviatilis,passeriformes,tyrannidae,muscisaxicola,"Sclater & Salvin, 1866",3.6 years,800 metres,Stable,"Shrubland, Grassland, Wetlands (inland)",Least Concern,"Little Ground-tyrant, Little Ground Tyrant, Little Ground-Tyrant",https://www.iucnredlist.org/species/22700137/93762013,Sclater & Salvin,1866
5831,Spot-billed Ground-tyrant,Muscisaxicola maculirostris,passeriformes,tyrannidae,muscisaxicola,"d'Orbigny & Lafresnaye, 1837",3.6 years,"4,000 metres",Stable,"Shrubland, Rocky areas (eg. inland cliffs, mountain peaks)",Least Concern,"Spot-billed Ground-tyrant, Spot-billed Ground Tyrant, Spot-billed Ground-Tyrant",https://www.iucnredlist.org/species/22700132/93761808,d'Orbigny & Lafresnaye,1837
5832,Taczanowski's Ground-tyrant,Muscisaxicola griseus,passeriformes,tyrannidae,muscisaxicola,"Taczanowski, 1884",3.6 years,"4,800 metres",Stable,Grassland,Least Concern,"Taczanowski's Ground-tyrant, Plain-capped Ground Tyrant, Taczanowski's Ground-Tyrant",https://www.iucnredlist.org/species/22733765/95064381,Taczanowski,1884
5833,Puna Ground-tyrant,Muscisaxicola juninensis,passeriformes,tyrannidae,muscisaxicola,"Taczanowski, 1884",3.6 years,"5,000 metres",Stable,"Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",Least Concern,"Puna Ground-tyrant, Puna Ground Tyrant, Puna Ground-Tyrant",https://www.iucnredlist.org/species/22700168/93762841,Taczanowski,1884
5834,Cinereous Ground-tyrant,Muscisaxicola cinereus,passeriformes,tyrannidae,muscisaxicola,"Philippi & Landbeck, 1864",3.6 years,"5,000 metres",Stable,"Shrubland, Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",Least Concern,"Cinereous Ground-tyrant, Cinereous Ground Tyrant, Cinereous Ground-Tyrant",https://www.iucnredlist.org/species/22700183/93763249,Philippi & Landbeck,1864
5835,White-fronted Ground-tyrant,Muscisaxicola albifrons,passeriformes,tyrannidae,muscisaxicola,"(Tschudi, 1844)",3.6 years,"5,600 metres",Stable,"Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks)",Least Concern,"White-fronted Ground-tyrant, White-fronted Ground Tyrant, White-fronted Ground-Tyrant",https://www.iucnredlist.org/species/22700193/93763472,Tschudi,1844
5836,Ochre-naped Ground-tyrant,Muscisaxicola flavinucha,passeriformes,tyrannidae,muscisaxicola,"Lafresnaye, 1855",3.6 years,"4,500 metres",Stable,"Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks)",Least Concern,"Ochre-naped Ground-tyrant, Ochre-naped Ground Tyrant, Ochre-naped Ground-Tyrant",https://www.iucnredlist.org/species/22700198/93763651,Lafresnaye,1855
5837,Rufous-naped Ground-tyrant,Muscisaxicola rufivertex,passeriformes,tyrannidae,muscisaxicola,"d'Orbigny & Lafresnaye, 1837",3.6 years,"4,500 metres",Stable,"Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",Least Concern,Rufous-naped Ground-tyrant,https://www.iucnredlist.org/species/103683296/93762636,d'Orbigny & Lafresnaye,1837
5838,Chestnut-naped Ground-tyrant,Muscisaxicola occipitalis,passeriformes,tyrannidae,muscisaxicola,"Ridgway, 1887",3.6 years,"4,500 metres",Stable,"Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",Least Concern,Chestnut-naped Ground-tyrant,https://www.iucnredlist.org/species/103683347/112475679,Ridgway,1887
5839,Dark-faced Ground-tyrant,Muscisaxicola maclovianus,passeriformes,tyrannidae,muscisaxicola,"(Garnot, 1829)",3.6 years,"1,200 metres",Decreasing,"Shrubland, Grassland, Wetlands (inland), Marine Intertidal, Artificial/Terrestrial",Least Concern,"Dark-faced Ground-tyrant, Dark-faced Ground Tyrant, Dark-faced Ground-Tyrant",https://www.iucnredlist.org/species/22700142/93762202,Garnot,1829
5840,White-browed Ground-tyrant,Muscisaxicola albilora,passeriformes,tyrannidae,muscisaxicola,"Lafresnaye, 1855",3.6 years,"2,500 metres",Stable,"Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",Least Concern,"White-browed Ground-tyrant, White-browed Ground Tyrant, White-browed Ground-Tyrant",https://www.iucnredlist.org/species/22700173/93763028,Lafresnaye,1855
5841,Plain-capped Ground-tyrant,Muscisaxicola alpinus,passeriformes,tyrannidae,muscisaxicola,"(Jardine, 1849)",3.6 years,"4,700 metres",Stable,"Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks)",Least Concern,"Plain-capped Ground-tyrant, Paramo Ground Tyrant, Plain-capped Ground-Tyrant",https://www.iucnredlist.org/species/22733758/95064214,Jardine,1849
5842,Cinnamon-bellied Ground-tyrant,Muscisaxicola capistratus,passeriformes,tyrannidae,muscisaxicola,"(Burmeister, 1860)",3.6 years,"4,000 metres",Unknown,"Shrubland, Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",Least Concern,"Cinnamon-bellied Ground-tyrant, Cinnamon-bellied Ground Tyrant, Cinnamon-bellied Ground-Tyrant",https://www.iucnredlist.org/species/22700152/155606600,Burmeister,1860
5843,Black-fronted Ground-tyrant,Muscisaxicola frontalis,passeriformes,tyrannidae,muscisaxicola,"(Burmeister, 1860)",3.6 years,"4,300 metres",Stable,Grassland,Least Concern,"Black-fronted Ground-tyrant, Black-fronted Ground Tyrant, Black-fronted Ground-Tyrant",https://www.iucnredlist.org/species/22700203/118649839,Burmeister,1860
5844,Red-rumped Bush-tyrant,Cnemarchus erythropygius,passeriformes,tyrannidae,cnemarchus,"(Sclater, 1853)",3.6 years,"4,100 metres",Stable,"Forest, Shrubland, Grassland",Least Concern,"Red-rumped Bush-tyrant, Red-rumped Bush Tyrant, Red-rumped Bush-Tyrant",https://www.iucnredlist.org/species/22699978/110736007,Sclater,1853
5845,Rufous-webbed Bush-tyrant,,,,,,,,,,,,https://www.iucnredlist.org/species/22700123/118650497,,
5846,Fire-eyed Diucon,Xolmis pyrope,passeriformes,tyrannidae,xolmis,"(Kittlitz, 1830)",3.6 years,"3,050 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Fire-eyed Diucon,https://www.iucnredlist.org/species/22700007/93758538,Kittlitz,1830
5847,Grey Monjita,Xolmis cinereus,passeriformes,tyrannidae,xolmis,"(Vieillot, 1816)",3.6 years,"1,200 metres",Decreasing,"Savanna, Grassland, Artificial/Terrestrial",Least Concern,"Grey Monjita, Gray Monjita",https://www.iucnredlist.org/species/22700010/93758738,Vieillot,1816
5848,Black-crowned Monjita,Xolmis coronatus,passeriformes,tyrannidae,xolmis,"(Vieillot, 1823)",3.6 years,"1,500 metres",Stable,Shrubland,Least Concern,Black-crowned Monjita,https://www.iucnredlist.org/species/22700019/93758957,Vieillot,1823
5849,White-rumped Monjita,Xolmis velatus,passeriformes,tyrannidae,xolmis,"(Lichtenstein, 1823)",3.6 years,"1,000 metres",Stable,"Savanna, Shrubland, Artificial/Terrestrial",Least Concern,White-rumped Monjita,https://www.iucnredlist.org/species/22700027/93759152,Lichtenstein,1823
5850,White Monjita,Xolmis irupero,passeriformes,tyrannidae,xolmis,"(Vieillot, 1823)",3.6 years,"1,300 metres",Stable,"Savanna, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,White Monjita,https://www.iucnredlist.org/species/22700035/93759331,Vieillot,1823
5851,Salinas Monjita,Xolmis salinarum,passeriformes,tyrannidae,xolmis,"Nores & Yzurieta, 1979",3.6 years,200 metres,Stable,Shrubland,Near Threatened,Salinas Monjita,https://www.iucnredlist.org/species/22700045/93759744,Nores & Yzurieta,1979
5852,Rusty-backed Monjita,Xolmis rubetra,passeriformes,tyrannidae,xolmis,"(Burmeister, 1860)",3.6 years,"1,000 metres",Decreasing,"Shrubland, Grassland, Wetlands (inland)",Least Concern,Rusty-backed Monjita,https://www.iucnredlist.org/species/22700038/93759552,Burmeister,1860
5853,Black-and-white Monjita,Xolmis dominicanus,passeriformes,tyrannidae,xolmis,"(Vieillot, 1823)",3.6 years,500 metres,Decreasing,"Grassland, Wetlands (inland), Marine Coastal/Supratidal, Artificial/Terrestrial",Vulnerable,Black-and-white Monjita,https://www.iucnredlist.org/species/22700052/118650884,Vieillot,1823
5854,Black-billed Shrike-tyrant,Agriornis montanus,passeriformes,tyrannidae,agriornis,"(D'Orbigny & Lafresnaye, 1837)",3.6 years,"4,500 metres",Stable,"Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",Least Concern,"Black-billed Shrike-tyrant, Black-billed Shrike-Tyrant",https://www.iucnredlist.org/species/22700072/93760506,D'Orbigny & Lafresnaye,1837
