,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,clutch/brood/litter size,eats,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,trophic guild,visual system,biogeographic realm,body mass,ecoregion,hearing range,type specimen repository,has ectoparasite,ecomorphological guild,conservation status,foraging habitat,life span,prenatal development duration,weight,parasitized by,preys on,mutualistic with,is vector for,genome size,body shape,diet includes,mating system,native range includes,parental care,litters per year,social system,body length,mineralized tissue contains,reproduction,Total length,water depth,visits flowers of,egg mass,body temperature,behavioral circadian rhythm,growth rate,bill length,tarsus length,temperature at range midpoint latitude,host of,basal metabolic rate,has host,parasite of,tarsometatarsus + middle toe length,trophic level
0,Blue duck,Animalia,Chordata,Aves,https://eol.org/pages/1065125,"Hymenolaimus malacorhynchos (Blue Duck) is a species of birds in the family Anatidae. They are listed as endangered by IUCN. They are associated with freshwater habitat. They are native to Australia. They are crepuscular carnivores. They have parental care (paternal care and female provides care). They rely on drag powered swimming, flight, and swimming to move around.",,,Elmidae (riffle beetles),New Zealand,mountain,,swimming,,Decreasing,insectivore,corneal eyes,,,,,,,,,,,,,,,,,,bilaterally symmetric,fruit,monogamous,Australia,protection,,,,,,,,,,,,,,,,,,,,,
0,Blue eared pheasant,Animalia,Chordata,Aves,https://eol.org/pages/45516031,Crossoptilon auritum (Blue Eared Pheasant) is a species of birds in the family Phasianidae. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,,,United States,"mountain,terrestrial",20 dB,bipedal movement,apatite,Stable,,corneal eyes,the palearctic,1880 g,Central Tibetan Plateau Alpine Steppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue finch,Animalia,Chordata,Aves,https://eol.org/pages/45513493,Porphyrospiza caerulescens (Blue Finch) is a species of birds in the family tanagers. They are listed as near threatened by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,United States,"savanna,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,The Neotropics,,Mato Grosso Seasonal Forests,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue grosbeak,Animalia,Chordata,Aves,https://eol.org/pages/1020158,Passerina caerulea (Blue Grosbeak) is a species of birds in the family cardinals. They are native to The Neotropics and The Nearctic. They are diurnal carnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.,,,,United States,,,,,Increasing,insectivore,,The Nearctic,,,,NHMUK,,,,,,11 days,,,,,,,bilaterally symmetric,mollusks,monogamous,The Neotropics,,1.5 /year,group living,,,,,,,,,,,,,,,,,,,
0,Blue ground dove,Animalia,Chordata,Aves,https://eol.org/pages/45509413,Claravis pretiosa (Blue Ground Dove) is a species of birds in the family Columbidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,Monteverdia macrocarpa (Ruiz & Pav.) Biral,South Pacific,"tropical,terrestrial",,flight,apatite,Decreasing,,corneal eyes,The Neotropics,103 g,,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue jay,Animalia,Chordata,Aves,https://eol.org/pages/45509980,"Cyanocitta cristata (Blue Jay) is a species of birds in the family Corvidae. They are native to The Nearctic. They are diurnal omnivores. They have parental care (female provides care, occasionally breeds cooperatively, and paternal care). They rely on flight to move around.",,,,Connecticut,,,,,Stable,omnivore,,The Neotropics,,,,,,,,terrestrial,,17 days,,,,,,,bilaterally symmetric,arthropods,monogamous,The Nearctic,,1 /year,group living,,,,,,,,,,,,,,,,,,,
0,Blue jewelbabbler,Animalia,Chordata,Aves,https://eol.org/pages/45516723,Ptilorrhoa caerulescens (Blue Jewel Babbler) is a species of birds in the family Psophodidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,,,Indonesia,tropical,10 dB,bipedal movement,apatite,,,corneal eyes,australasia,49 g,Northern New Guinea Lowland Rain And Freshwater Swamp Forests,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue korhaan,Animalia,Chordata,Aves,https://eol.org/pages/45513870,Eupodotis caerulescens (Blue Bustard) is a species of birds in the family bustards. They are listed as near threatened by IUCN and in cites appendix ii. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,United States,"pasture,terrestrial",20 dB,bipedal movement,apatite,Decreasing,,corneal eyes,Afrotropics,1612 g,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue lorikeet,Animalia,Chordata,Aves,https://eol.org/pages/45517931,"Vini peruviana (Blue Lorikeet) is a species of birds in the family Psittaculidae. They are listed as vulnerable by IUCN and in cites appendix ii. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,,,Cook Islands,"swamp,terrestrial",,bipedal movement,,Decreasing,,corneal eyes,"Oceania continent (Australia, NZ and islands)",29.2 g,,,,,,vulnerable,,18.4 years,,29 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue malkoha,Animalia,Chordata,Aves,https://eol.org/pages/1047931,Ceuthmochares aereus (Blue Malkoha) is a species of birds in the family Cuculidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,Mozambique,"tropical,terrestrial",20 dB,flight,apatite,Stable,,corneal eyes,Afrotropics,80 g,Northwestern Congolian Lowland Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue manakin,Animalia,Chordata,Aves,https://eol.org/pages/45513334,Chiroxiphia caudata (Blue Manakin) is a species of birds in the family Manakins. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,Solanum (Nightshades),South Atlantic,"tropical,terrestrial",,flight,apatite,Stable,,corneal eyes,The Neotropics,30 g,,,,,,,,,,,,,Maytenus (mayten),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue mockingbird,Animalia,Chordata,Aves,https://eol.org/pages/45510169,Melanotis caerulescens (Blue Mockingbird) is a species of birds in the family Mimidae. They are found in The Neotropics and The Nearctic. They rely on flight to move around.,tympanic middle ear,,,United States,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,The Neotropics,,Sinaloan Dry Forests,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue noddy,Animalia,Chordata,Aves,https://eol.org/pages/52571440,Anous ceruleus (Blue Noddy) is a species of birds in the family Laridae. They rely on flight to move around.,tympanic middle ear,,Velella velella (Linnaeus 1758) (Jack sail-by-the-wind),Kiribati,terrestrial,20 dB,flight,apatite,Stable,,corneal eyes,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue nuthatch,Animalia,Chordata,Aves,https://eol.org/pages/1051084,Sitta azurea (Blue Nuthatch) is a species of birds in the family Sittidae. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,Malaysia,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,the indo-malayan realm,,Sumatran Tropical Pine Forests,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue paradise flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45516880,Terpsiphone cyanescens (Blue Paradise Flycatcher) is a species of birds in the family monarch flycatchers. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,The Philippines,terrestrial,10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,the indo-malayan realm,23.1 g,Palawan Rain Forests,,(UMMZ) - UMMZ Birds Collection {http://www.lsa.umich.edu/ummz/birds/},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue petrel,Animalia,Chordata,Aves,https://eol.org/pages/45512108,"Halobaena caerulea (Blue Petrel) is a species of birds in the family Procellariidae. They are found in The Neotropics, australasia, and Antarctica. They are nocturnal. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,,Protomyctophum tenisoni (Norman 1930) (Lanternfish),Southern Ocean,marine,,flight,,Decreasing,invertivore,corneal eyes,The Neotropics,,,,,,nectonic,,marine pelagic,,,,,Eurythenes gryllus (Lichtenstein ex Mandt 1822),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue pitta,Animalia,Chordata,Aves,https://eol.org/pages/919382,Hydrornis cyaneus (Blue Pitta) is a species of birds in the family pittas. They rely on flight to move around.,tympanic middle ear,,,Vietnam,terrestrial,10 dB,flight,apatite,Unknown,,corneal eyes,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue rock thrush,Animalia,Chordata,Aves,https://eol.org/pages/4402380,Monticola solitarius pandoo (Blue Rock Thrush) is a subspecies of birds in the family Old World flycatchers. They rely on flight to move around.,tympanic middle ear,,,,,10 dB,flight,apatite,,,corneal eyes,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue swallow,Animalia,Chordata,Aves,https://eol.org/pages/45515383,Hirundo atrocaerulea (Blue Swallow) is a species of birds in the family swallows. They are listed as vulnerable by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,Mozambique,"grassland,freshwater habitat",,flight,apatite,Decreasing,,corneal eyes,Afrotropics,15 g,,,NHMUK,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue vanga,Animalia,Chordata,Aves,https://eol.org/pages/45514236,Cyanolanius madagascarinus (Blue Vanga) is a species of birds in the family Vangidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,Madagascar,tropical,10 dB,bipedal movement,apatite,,,corneal eyes,Afrotropics,24.5 g,Madagascar Spiny Thickets,5000 Hz,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue waxbill,Animalia,Chordata,Aves,https://eol.org/pages/45515668,Uraeginthus angolensis (Blue Waxbill) is a species of birds in the family Estrildid finches. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,Panicum (panicgrass),United States,"savanna,terrestrial",,flight,apatite,Stable,,corneal eyes,Afrotropics,13 g,,,,,,,,,,,,,,,1.292 pg,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blue whistling thrush,Animalia,Chordata,Aves,https://eol.org/pages/45517536,Myophonus caeruleus (Blue Whistling Thrush) is a species of birds in the family Old World flycatchers. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,,Pyracantha crenulata (D. Don) M. Roemer (Nepalese firethorn),Indian Ocean,"temperate,terrestrial",10 dB,flight,apatite,Unknown,,corneal eyes,the indo-malayan realm,179 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bluethroat,Animalia,Chordata,Aves,https://eol.org/pages/46574432,Chaenopsis ocellata (Bluethroat Pikeblenny) is a species of bony fishes in the family tube blennies. Individuals can grow to 12.5 cm. They have sexual reproduction.,otoliths,,,Mexico,"marine,marine",,,apatite,Unknown,,lens eyes,,,,,,,,,,,,,,,,,,,,,,,,,12.5 cm,hydroxylapatite,sexual reproduction,12.5 cm,5 m,,,,,,,,,,,,,,
0,Bluish flowerpiercer,Animalia,Chordata,Aves,https://eol.org/pages/921768,"Diglossa caerulescens (Bluish Flower Piercer) is a species of birds in the family tanagers. They visit flowers of Ugni myricoides, Vallea stipularis, Macleania rupestris, and Airplants. They rely on flight to move around.",tympanic middle ear,,Eucalyptus (gum),Bolivia,"montane forest,terrestrial",10 dB,flight,apatite,Stable,,corneal eyes,,,,,,,,,,,,,,,,,1.302 pg,,,,,,,,,,,,,Cavendishia bracteata (Ruiz & Pav. ex A. St. Hilaire) Hørold,,,,,,,,,,,,,
0,Blyths frogmouth,Animalia,Chordata,Aves,https://eol.org/pages/45516360,Batrachostomus affinis (Blyth's Frogmouth) is a species of birds in the family frogmouths. They rely on flight to move around.,tympanic middle ear,,,Cambodia,tropical,20 dB,bipedal movement,apatite,,,corneal eyes,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blyths hawkeagle,Animalia,Chordata,Aves,https://eol.org/pages/1048929,Nisaetus alboniger (Blyth's Hawk Eagle) is a species of birds in the family Accipitridae. They rely on flight to move around.,tympanic middle ear,,,India,terrestrial,20 dB,bipedal movement,apatite,Decreasing,,corneal eyes,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blyths hornbill,Animalia,Chordata,Aves,https://eol.org/pages/45517883,Rhyticeros plicatus (Blyth's Hornbill) is a species of birds in the family hornbills. They are listed in cites appendix ii. They rely on flight to move around.,tympanic middle ear,,Virola (virola),Indonesia,"tropical,terrestrial",20 dB,bipedal movement,apatite,Decreasing,,corneal eyes,,,,5000 Hz,,,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blyths kingfisher,Animalia,Chordata,Aves,https://eol.org/pages/45516494,Alcedo hercules (Blyth's Kingfisher) is a species of birds in the family Alcedinidae. They are listed as near threatened by IUCN. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,,,Vietnam,"sandy soil,terrestrial",20 dB,flight,apatite,Decreasing,,corneal eyes,the indo-malayan realm,,Northeast India-Myanmar Pine Forests,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blyths leaf warbler,Animalia,Chordata,Aves,https://eol.org/pages/45517036,Phylloscopus reguloides (Blyth's Leaf Warbler) is a species of birds in the family Phylloscopidae. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,,,Vietnam,"tropical,terrestrial",10 dB,flight,apatite,Stable,,corneal eyes,the indo-malayan realm,9.4 g,,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blyths paradise flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/47043035,Terpsiphone affinis (Blyth's Paradise Flycatcher) is a species of birds in the family monarch flycatchers. They rely on flight to move around.,tympanic middle ear,,,Indonesia,,10 dB,flight,apatite,,,corneal eyes,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blyths pipit,Animalia,Chordata,Aves,https://eol.org/pages/45513739,Anthus godlewskii (Blyth's Pipit) is a species of birds in the family Motacillidae. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,North Atlantic,terrestrial,10 dB,flight,apatite,Stable,,corneal eyes,the palearctic,28 g,Eastern Himalayan Broadleaf Forests,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
